,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
36,Reflex Gaming Cafe Andheri,Video game store, 4.4 stars ,"824 First floor, Oshiwara sand Chs Ltd, New Link Rd, above box8, Adarsh Nagar, Jogeshwari West, Mumbai, Maharashtra 400102",[],Not available,Unavailable,Unavailable
37,Gamerz Den,Video arcade, 4.4 stars ,"102 Nagpal House 35th road behind National College opp linkway hotel, Bandra East, Mumbai, Maharashtra 400050",[],Not available,Unavailable,Open 24 hours
38,Chairman's Group Cyber Cafe And Game Zone,Internet cafe, 3.7 stars ,"Pipeline, Asalpha, Mumbai, Maharashtra 400084",[],096994 91958,Open, ⋅ Closes 11 pm
39,Pandora,Video arcade, 4.5 stars ,"27 Mona shopping centre, JP Rd, Andheri West, Maharashtra 400058",[],Not available,Open, ⋅ Closes 10 pm
40,Game shop ps Kids Zone,Game store, 4.5 stars ,"saba market, Shop number.100, 1st floor, A, S shopping center, Musafir Khana Rd, near Al, Mumbai, Maharashtra 400001",[],Not available,Open, ⋅ Closes 9:30 pm
41,Game Zone,Game store,No rating available,"Shop No. D143, Sai Ekta Society, Ambedkar Chow Ambujwadi, near Garib Nawaz Masjid, Malad, Malvani, Malad West, Mumbai, Maharashtra 400095",[],084528 18458,Open, ⋅ Closes 9 pm
42,Informatics Cyber And Game Zone,Internet cafe, 4.1 stars ,"Rele Smruti, Nadiadwala Colony No. 1, S.V Road, Near Amit Dairy, opp. Shivam Xerox, Malad West, Mumbai, Maharashtra 400064",[],098190 65112,Open, ⋅ Closes 9 pm
43,Zero Latency India - Mumbai,Amusement center, 4.7 stars ,"Todi Mills, Mathuradas Mill Compound, Zero Latency Arena Unit No. 1, New Mahalaxmi Silk Mills Premises, Lower Parel, Mumbai, Maharashtra 400013",['zerolatencyvr.in'],093240 95968,Unavailable,Unavailable
44,IMAX CYBER GALLERY & GAMING ZONE,Internet cafe, 4.1 stars ,"Group NO-1/220/3122, near Statue of Ambedkar, Tagore Nagar, Vikhroli, Mumbai, Maharashtra 400083",[],096645 01305,Open, ⋅ Closes 10 pm
45,The Game Palacio,Restaurant, 4.1 stars ,"G0001/B, Krystal Building 206, Below Hakkasan, Waterfield Road, Bandra West, Mumbai, Maharashtra 400050","['dineout.co.in', 'swiggy.com']",072088 62232,Open, ⋅ Closes 1:30 am
46,Zen Entertainment,Toy and game manufacturer, 3.0 stars ,"Powai Fun11d, Hakone Game Zone, near Powai Plaza, opp. Hiranandani garden, Hiranandani Gardens, Mumbai, Maharashtra 400076",[],098210 69764,Open, ⋅ Closes 10 pm
