,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
90,Smaaash | Sports Bar R-City,Bowling alley, 4.3 stars ,"R City Mall, 3rd Floor, Lal Bahadur Shastri Rd, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",['eazydiner.com'],083770 08667,Open, ⋅ Closes 11 pm
91,Neoshi Amusement and Gaming World,Amusement machine supplier, 5.0 stars ,"301, SHAH PLAZA, R.G. GADKARI ROAD, PANVEL, Navi Mumbai, Maharashtra 410206",['neoshiamusementgamingworld.com'],098336 68014,Unavailable,Unavailable
92,CRL Eterprises For Tourist,Tourist attraction, 5.0 stars ,"Rathodi villege, Marve Rd, near Lotus talav, Malad West, Mumbai, Maharashtra 400095",[],Not available,Unavailable,Open 24 hours
93,Park,Park, 4.4 stars ,"2V52+2F2, Sathe Nagar, Wadala, Mumbai, Maharashtra 400031",[],Not available,Unavailable,Unavailable
94,Jumble Tumble Mulund,Indoor playground, 4.1 stars ,"R MALL, Level, 2, Lal Bahadur Shastri Rd, Mulund West, Mumbai, Maharashtra 400080",['jumbletumble.in'],090042 38535,Open, ⋅ Closes 8 pm
95,Amarsons Garden,Park, 4.3 stars ,"76, Bhulabhai Desai Marg, Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026",[],Not available,Closed, ⋅ Opens 4:30 pm
96,Giant old Baobab Tree,Park, 5.0 stars ,"WW26+MH3, Kegaon, Uran, Navi Mumbai, Maharashtra 400704",[],Not available,Unavailable,Unavailable
97,Gorai Beach,Tourist attraction, 4.4 stars ,"beach, Gorai, Mumbai, Maharashtra 400091",[],Not available,Unavailable,Unavailable
98,Treks and Trails India,Outdoor activity organiser, 4.7 stars ,"43 Nawanagar ICI Shed Ground Floor, Road, Dockyard, Mumbai, Maharashtra 400010",['treksandtrails.org'],088280 04949,Open, ⋅ Closes 8 pm
99,Park,Park, 5.0 stars ,"Simplex Mill, Jacob Circle, Mumbai, Maharashtra 400011",[],Not available,Unavailable,Unavailable
100,Camping near mumbai,Adventure Sports Center, 5.0 stars ,"677/73, Ramabai Nagar, Ramabai Ambedkar Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",[],089762 74649,Open, ⋅ Closes 10 pm
101,Rati Villa - Della Adventure & Resorts sales office,Back Office, 3.9 stars ,"rativilla, Motibai St, opp. Bhatia Hospital, Tardeo, Mumbai, Maharashtra 400007",['dellaadventure.com'],Not available,Unavailable,Unavailable
102,Park,Park, 4.2 stars ,"RN-39, New Navy Nagar, Colaba, Mumbai, Maharashtra 400005",[],Not available,Unavailable,Open 24 hours
103,Natural Water Park,Water park, 3.4 stars ,"X477+M6P, Navi Mumbai, Maharashtra 410221",[],Not available,Unavailable,Unavailable
104,OMNITERRA ADVENTURE SERVICES,Adventure Sports Center, 4.6 stars ,"12/A, Narayan Smruti, Chhabildas Rd, Dadar, w, Maharashtra 400028",['omniterra.in'],098694 59245,Unavailable,Unavailable
105,The Great Escape Water Park,Water park, 4.0 stars ,"Parol - Bhiwandi Road, Off Vajreshwari Road, Bombay-Ahmedabad Highway, Virar (East), Thane, Maharashtra 401303",['greatescape.co.in'],085549 92350,Open, ⋅ Closes 6 pm
106,Bollywood Tours,Tourist attraction, 3.8 stars ,"23, Manohardas Street, Opp CSTM Gpo Side, Borabazar Precinct, Ballard Estate, Fort, Mumbai, Maharashtra 400001","['bollywoodtours.in', 'bollywoodtours.in']",098202 55202,Open, ⋅ Closes 9:58 pm
107,Shilonda Trail,Hiking area, 4.5 stars ,"6VHJ+2M5, National Park Flyover, Rajendra Nagar Society, Borivali, Mumbai, Maharashtra 400066",[],Not available,Open, ⋅ Closes 6 pm
108,Ankam Play Systems Private Limited,Playground equipment supplier,No rating available,"No. 8, Western Express Hwy, Santacruz East, ठाणे, Maharashtra 400055",[],Not available,Open, ⋅ Closes 6 pm
109,Central Park Ghansoli,Park, 4.4 stars ,"2, Charu Patil Marg, Sector 3, Ghansoli, Navi Mumbai, Maharashtra 400701",[],Not available,Closed, ⋅ Opens 5 pm
110,"Bird Watching Area, Bhandup West",Bird watching area, 4.4 stars ,"4XR7+QV6, Mulund East, Mumbai, Maharashtra 400042",[],Not available,Open, ⋅ Closes 6 pm
111,Visava Amusement Park & Resort,Unknown, 4.1 stars ,"Mumbai-Goa Highway, Near Karnala Bird Sanctuary Kalhe Gaon, Panvel, Karnala, Maharashtra 410221",['visavaamusementpark.com'],088288 15222,Unavailable,Unavailable
112,WaterPark in Mumbai Near Thane - Paradise Funland,Amusement park, 4.2 stars ,"Jui Pada, Bhadane Village, Near Palavi Hotel, Nashik Highway Padgha,Bhiwandi, Mumbai, Maharashtra 421101",['paradisefunland.com'],093262 60063,Unavailable,Unavailable
113,Shivganga Waterpark and Resort,Water park, 4.0 stars ,"Shiv Mandir, Somatne, Panvel, Mumbai, Maharashtra 421310",['shivgangawaterpark.in'],099207 79884,Open, ⋅ Closes 5 pm
114,Orama World,Unknown, 3.9 stars ,"No.462, Phoenix Mills, North Court, Senapati Bapat Marg, Lower Parel, opp. Pepe Jeans High Street Phoenix, Mumbai, Maharashtra 400011",[],Not available,Unavailable,Permanently closed
115,Rahul Disney Land And Amusement,Unknown,No rating available,"Nagar, Kali Borni, Shop No. B-110, Nayak, Mumbai - Agra National Hwy, Sion West, Mumbai, Maharashtra",[],074149 78808,Unavailable,Permanently closed
116,Adventure park,Unknown, 4.8 stars ,"Palm Island, 401, 4, Royal Palms, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065",[],Not available,Unavailable,Permanently closed
117,Phase D Kids Park,Park, 4.0 stars ,"4RQJ+G7G, Phase D, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400047",[],Not available,Unavailable,Temporarily closed
118,Flamingo Safari entry point - T3,Bird watching area, 4.2 stars ,"Mulund East, Mumbai, Maharashtra 400042",['theterntravellers.com'],Not available,Unavailable,Temporarily closed
