,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
63,Haji Ali Dargah,Shrine, 4.4 stars ,"Dargah Rd, Haji Ali, Mumbai, Maharashtra",['hajialidargah.in'],Not available,Open, ⋅ Closes 9:45 pm
64,Joggers Park,Park, 4.3 stars ,"Sangeet Samrat Naushad Ali Rd, Bandra West, Mumbai, Maharashtra 400050",[],Not available,Open, ⋅ Closes 3 am
65,India Flag,Historical landmark, 5.0 stars ,"Bandra Worli Sea Link Bus Stop, Western Express Hwy, Mount Mary, Bandra West, Mumbai, Maharashtra 400050",[],Not available,Unavailable,Unavailable
66,ISKCON Chowpatty (Sri Sri Radha Gopinath Mandir),Hindu temple, 4.8 stars ,"7, K. M. Munshi Marg, Girgaon, Chowpatty, Mumbai, Maharashtra 400007",['iskconchowpatty.com'],079771 08108,Unavailable,Unavailable
67,Fun city,Children's amusement center, 4.4 stars ,"3rd floor, infinity mall, Malad, Mumbai, Maharashtra 400064",['funcity.in'],Not available,Open, ⋅ Closes 8 pm
68,Dharavi Slum Tour,Tourist attraction, 4.7 stars ,"Walkat Chawl No. B, Room No 13, Kumbharwada, Sant Gora Kumbhar Marg, Dharavi, Mumbai, Maharashtra 400017","['magicalmumbaitours.com', 'magicalmumbaitours.com']",090228 01616,Unavailable,Open 24 hours
69,Vanrani,Tourist attraction, 4.7 stars ,"Sanjay Gandhi National Park, Udyan (National Park, Kulupwadi, Borivali East, Mumbai, Maharashtra 400066",[],Not available,Open, ⋅ Closes 5:30 pm
70,EsselWorld,Amusement park, 4.3 stars ,"Global Pagoda Road, Gorai Island, Borivali West, Mumbai, Maharashtra 400092",['esselworld.in'],Not available,Unavailable,Temporarily closed
71,Elephanta Caves,Historical place, 4.3 stars ,"Gharapuri, Maharashtra 400094",['maharashtratourism.gov.in'],Not available,Unavailable,Unavailable
72,Play 'N' Learn - Kids Indoor Playground & Play Area in Mumbai,Indoor playground, 4.5 stars ,"Third Floor, Oberoi Mall, Western Express Hwy, Yashodham, Goregaon, Mumbai, Maharashtra 400063",['activeedufun.com'],089285 58280,Open, ⋅ Closes 9:30 pm
73,Amarsons Garden,Park, 4.3 stars ,"76, Bhulabhai Desai Marg, Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026",[],Not available,Closed, ⋅ Opens 4:30 pm
74,Joseph Baptista Garden,Tourist attraction, 4.4 stars ,"400010, Ekta Nagar, Mazgaon, Mumbai, Maharashtra 400010",[],Not available,Open, ⋅ Closes 9 pm
75,Mancherji Joshi Five Gardens,Garden, 4.4 stars ,"Mancherji E Joshi Chowk, Central Railway Colony, Dadar East, Dadar, Mumbai, Maharashtra 400014",[],Not available,Unavailable,Unavailable
76,Mumbai West Point,Tourist attraction, 4.5 stars ,"6QFG+WG2, Culvem Village, Gorai, Mumbai, Maharashtra 400092",[],Not available,Unavailable,Unavailable
77,Kingdom of Fun,Indoor playground, 3.9 stars ,"C/O D S VENTURES 1ST FLR SHAKTI TEXTILES SUNDER BAUG, Maharashtra 400088",[],077108 14433,Open, ⋅ Closes 8 pm
78,Marve Beach,Scenic spot, 4.0 stars ,"5QWW+WPJ, Marve Beach, Malad West, Mumbai, Maharashtra, Mumbai",[],Not available,Unavailable,Open 24 hours
79,"Happy Planet Kurla- Playzone for Kids,Teenagers & Adults",Indoor playground, 4.0 stars ,"Phoenix Market City, Level, 1, Lal Bahadur Shastri Rd, Kurla West, Mumbai, Maharashtra 400070",['happyplanet.in'],098330 67879,Open, ⋅ Closes 9 pm
80,Joseph Baptista Garden,Park, 4.4 stars ,"400010, Ekta Nagar, Mazgaon, Mumbai, Maharashtra 400010",[],Not available,Open, ⋅ Closes 9 pm
81,Mancherji Joshi Five Gardens,Garden, 4.4 stars ,"Mancherji E Joshi Chowk, Central Railway Colony, Dadar East, Dadar, Mumbai, Maharashtra 400014",[],Not available,Unavailable,Unavailable
82,Chepalna?,Tourist attraction,No rating available,"2, Airport Area, Bandra East, Mumbai, Maharashtra 400051",[],Not available,Unavailable,Unavailable
83,Mumbai West Point,Tourist attraction, 4.5 stars ,"6QFG+WG2, Culvem Village, Gorai, Mumbai, Maharashtra 400092",[],Not available,Unavailable,Unavailable
84,Kingdom of Fun,Indoor playground, 3.9 stars ,"C/O D S VENTURES 1ST FLR SHAKTI TEXTILES SUNDER BAUG, Maharashtra 400088",[],077108 14433,Open, ⋅ Closes 8 pm
85,Marve Beach,Scenic spot, 4.0 stars ,"5QWW+WPJ, Marve Beach, Malad West, Mumbai, Maharashtra, Mumbai",[],Not available,Unavailable,Open 24 hours
86,Mumbai Cruise Pirs,Tourist attraction, 4.4 stars ,"Mumbai Port Trust International Terminal, Fort, Mumbai, Maharashtra 400001",[],Not available,Unavailable,Unavailable
87,"Happy Planet Kurla- Playzone for Kids,Teenagers & Adults",Indoor playground, 4.0 stars ,"Phoenix Market City, Level, 1, Lal Bahadur Shastri Rd, Kurla West, Mumbai, Maharashtra 400070",['happyplanet.in'],098330 67879,Open, ⋅ Closes 9 pm
88,BMC Forest Theme Garden,Garden, 4.2 stars ,"5RFM+C64, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400104",[],Not available,Closed, ⋅ Opens 3 pm
89,Yaya Playzone,Indoor playground, 4.4 stars ,"Plot No. 22, Kavrana Estate, Bhai, Balmukund Marg, Chinchpokli, Mumbai, Maharashtra 400012",['yayaplayzone.com'],091364 40564,Open, ⋅ Closes 8 pm
90,Vihar Laake Party,Tourist attraction,No rating available,"4WQ6+W2, Mumbai, Maharashtra 400078",[],Not available,Unavailable,Unavailable
91,Couple Park,Park, 4.3 stars ,"2RR9+VJQ, Mount Mary, Bandra West, Mumbai, Maharashtra 400050",[],Not available,Open, ⋅ Closes 6:30 pm
92,Bhakti Dham Mandir,Hindu temple, 4.4 stars ,"Bhaktidham Mandir Rd, Samarth Nagar, Chunabhatti, Sion, Mumbai, Maharashtra 400022",[],Not available,Unavailable,Unavailable
93,Mumbai lake/ vihar lake,Tourist attraction, 4.8 stars ,"4WW4+8P, Mumbai, Maharashtra 400078",[],Not available,Unavailable,Unavailable
94,Shivaji Park Point,City park, 4.5 stars ,"Dadar West, Shivaji Park, Mumbai, Maharashtra 400028",[],Not available,Unavailable,Unavailable
95,Kanheri Table Top,Tourist attraction, 4.0 stars ,"National Park, Kanheri Caves Road, Raheja Estate, Kulupwadi, Borivali East, Mumbai, Maharashtra 400101",[],Not available,Unavailable,Unavailable
96,Powai Vatika,Tourist attraction, 4.3 stars ,"4WF4+5Q5, IIT Area, Powai, Mumbai, Maharashtra 400076",[],Not available,Open, ⋅ Closes 10 pm
97,"Timezone Phoenix Marketcity Kurla Lvl 1 - Bowling, Arcade Games & Party Venues",Amusement center, 4.3 stars ,"Phoenix Marketcity Mall, Lal Bahadur Shastri Rd, Kamani, Ashok Nagar, Junction, Mumbai, Maharashtra 400070",['timezonegames.com'],Not available,Open, ⋅ Closes 10 pm
98,Lallubhai Park,Park, 4.1 stars ,"Bharucha Road, Bharucha Baug, Parsi Colony, Andheri West, Mumbai, Maharashtra 400058",[],Not available,Open, ⋅ Closes 10 pm
99,Veer Baji Prabhu Udyan,Garden, 4.5 stars ,"2RGP+P43, near chaittyabhumi, Keluskar Rd S, Dadar West, Dadar, Mumbai, Maharashtra 400028",[],Not available,Unavailable,Unavailable
100,Maa Chamunda Tourism,Tourist attraction, 5.0 stars ,"Second Street, Marine Lines East, Fanas Wadi, Kalbadevi, Mumbai, Maharashtra 400002",['ueniweb.com'],Not available,Open, ⋅ Closes 7 pm
101,"Nariman Point, Mumbai, Maharashtra",Tourist attraction, 4.7 stars ,"WRG9+7C9, Nariman Point, Mumbai, Maharashtra 400021",[],Not available,Unavailable,Open 24 hours
102,"Timezone R City Mall Ghatkopar - Arcade Games, VR & Prizes",Amusement center, 4.3 stars ,"Amrut Nagar Rd R City Mall, Ghatkopar West, Mumbai, Maharashtra 400086",['timezonegames.com'],Not available,Open, ⋅ Closes 8 pm
103,लव गिरगाव,Tourist attraction, 5.0 stars ,"XR48+J8F, Mathew Rd, Charni Road East, Opera House, Girgaon, Mumbai, Maharashtra 400004",[],Not available,Unavailable,Open 24 hours
104,Colaba Market,Market, 4.2 stars ,"WR9H+VWG, Adenwala Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005",[],Not available,Open, ⋅ Closes 12 am
105,Teen bakda,Tourist attraction, 3.7 stars ,"XR22+CVW, Walkeshwar Rd, Krishanaraj Society, Raj Bhavan, Malabar Hill, Mumbai, Maharashtra 400006",[],Not available,Unavailable,Unavailable
106,Fun zone,Tourist attraction,No rating available,"32JG+8P7, Turbhe MIDC, Turbhe, Navi Mumbai, Maharashtra 400705",[],Not available,Unavailable,Unavailable
107,World tour,Tourist attraction,No rating available,"Rani Sati Rd, opp. passport office, Malad, MBH Colony, Pathan Wadi, Malad East, Mumbai, Maharashtra 400097",[],Not available,Unavailable,Unavailable
108,जोगेश्वरी गुंफा,Tourist attraction, 4.5 stars ,"जोगेश्वरी गुंफा, गुंफा रोड, Gupha Tekdi, Jogeshwari East, Mumbai, Maharashtra 400060",[],Not available,Unavailable,Unavailable
109,Dr. Bhau Daji Lad Museum,Museum, 4.4 stars ,"91 A, Rani Baug, Veer Mata Jijbai Bhonsle Udyan, 91 A, Dr Baba Saheb Ambedkar Rd, Byculla East, Mumbai, Maharashtra 400027",['bdlmuseum.org'],Not available,Unavailable,Temporarily closed
110,Escapology India,Escape room center, 4.3 stars ,"Escapology, R City Mall T-34, 3rd Floor, Lal Bahadur Shastri Rd, Ghatkopar West, Mumbai, Maharashtra 400086",[],088799 78888,Unavailable,Temporarily closed
111,Shivling Fountain,Tourist attraction, 5.0 stars ,"5RQR+3MX, Malad, Navy Colony, Kanchpada, Malad West, Mumbai, Maharashtra 400064",[],Not available,Unavailable,Temporarily closed
112,Bhabiji Ghar Par Hain Society,Tourist attraction, 4.1 stars ,"5V6R+HM6, Pankaj Ghavri, Film City Complex, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065",[],Not available,Unavailable,Temporarily closed
